"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1132538",0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,2.19522257756246,0.941431788270001,0.847288609443001
"2605721",0,0,0,1,0.9,0.81,0.729,12.0945195977954,38.9066125264099,35.0159512737689,31.514356146392,28.3629205317528,25.5266284785776,22.9739656307198,20.6765690676478
"4714659",0,1,20.3223222041542,26.2345783215602,27.6759195740182,24.9083276166164,22.4174948549548,20.1757453694593,25.8950763093631,23.3055686784268,20.9750118105841,18.8775106295257,16.9897595665731,15.2907836099158,13.7617052489242
"4604847",0,0,0,0,0,0,0,0,9.54517744447956,11.9991568524454,10.7992411672009,9.71931705048078,8.7473853454327,7.87264681088943,7.08538212980049
"164643",0,0,0,0,0,0,0,3.38629436111989,5.87258329629133,5.2853249666622,4.75679246999598,4.28111322299638,3.85300190069674,3.46770171062707,3.12093153956436
"2862368",0,0,0,0,0,1,0.9,12.5357370099717,11.2821633089745,10.1539469780771,9.13855228026935,8.22469705224241,7.40222734701817,6.66200461231636,5.99580415108472
"2252243",0,0,0,1,6.08248560137009,15.6450625001389,21.6711566526701,31.6648380183849,41.3673578173399,46.0720524785135,41.4648472306621,37.3183625075959,33.5865262568363,30.2278736311527,27.2050862680374
"5176175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5280982",3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938,0.86093442,0.774840978,0.6973568802,0.62762119218,0.564859072962,0.5083731656658,0.45753584909922
"21691",0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,14.5308037438516,13.0777233694665,11.7699510325198,10.5929559292678,16.4988447561455,14.848960280531,13.3640642524779,12.0276578272301
"5288424",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"4891076",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"5160978",0,0,0,6.29583686600433,5.6662531794039,8.16973380193706,7.35276042174335,6.61748437956902,5.95573594161212,5.3601623474509,4.82414611270581,4.34173150143523,3.90755835129171,3.51680251616254,3.16512226454629
"2561479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2241200",0,0,0,0,0,0,0,0,0,0,1,6.08248560137009,5.47423704123308,4.92681333710977,4.43413200339879
"3171036",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"2511037",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"4205933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4736139",0,0,0,3.38629436111989,3.0476649250079,5.48488478329663,4.93639630496697,4.44275667447027,10.0939306182846,9.08453755645612,17.813746011482,16.0323714103338,14.4291342693004,12.9862208423704,11.6875987581333
"5146215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5216541",0,0,0,0,0,0,0,3.38629436111989,16.1852248499879,14.5667023649891,16.7567596521095,15.0810836868985,13.5729753182087,12.2156777863878,10.994110007749
"2060804",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,4.80330104809825,4.32297094328843,3.89067384895959
"1157098",0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,2.19522257756246,0.941431788270001,0.847288609443001,0.762559748498701
"1203604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2246855",0,0,0,0,0,0,0,1,9.30263302132089,8.3723697191888,7.53513274726992,6.78161947254293,6.10345752528864,5.49311177275977,4.9438005954838
"4361602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5084958",0,0,0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076
"3763858",0,0,0,0,0,0,0,1,12.7820769691633,11.503869272247,13.8485528753161,12.4636975877845,11.217327829006,10.0955950461054,9.08603554149488
"4848221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3885100",0,0,0,0,0,0,0,3.38629436111989,5.87258329629133,5.2853249666622,4.75679246999598,4.28111322299638,3.85300190069674,3.46770171062707,3.12093153956436
"947353",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"211773",0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559
"5184489",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"5328514",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"4626314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2071504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
