"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1132538",0,0,1,0.9,0.81,0.729,0.6561,0.59049,32.8896674804985,24.4410711069738,21.9969639962764,19.7972675966488,17.8175408369839,16.0357867532855,14.4322080779569
"2605721",0,0,0,0,0,0,0,1,20.3223222041542,18.2900899837388,20.2664387491756,18.239794874258,16.4158153868322,18.4410929859541,20.3402092636284
"4714659",0,0,1,0.9,0.81,0.729,0.6561,0.59049,2.52011251116125,2.26810126004513,2.04129113404062,1.83716202063655,4.04304664720379,3.63874198248341,3.27486778423507
"4604847",0,0,0,0,0,0,0,0,6.29583686600433,12.2580171832414,11.0322154649173,9.92899391842553,8.93609452658298,8.04248507392468,7.23823656653221
"164643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2862368",0,0,1,0.9,0.81,0.729,0.6561,0.59049,8.32303869555798,10.790087842869,9.71107905858212,8.73997115272391,7.86597403745152,7.07937663370636,6.37143897033573
"2252243",0,0,1,0.9,3.05460562531838,2.74914506278654,2.47423055650789,7.84374623865429,13.8043495630836,16.0294281441025,14.4264853296923,12.9838367967231,11.6854531170507,10.5169078053457,9.46521702481111
"5176175",0,0,0,0,0,0,0,9.54517744447956,11.9991568524454,10.7992411672009,9.71931705048078,8.7473853454327,7.87264681088943,7.08538212980049,6.37684391682044
"5280982",3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,13.5962170479664,12.2365953431698,11.0129358088528,9.91164222796754,8.92047800517079,8.02843020465371,7.22558718418834,6.5030284657695
"21691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5288424",0,0,0,0,0,0,0,6.29583686600433,32.0240944817167,28.821685033545,25.9395165301905,23.3455648771715,21.0110083894543,18.9099075505089,17.018916795458
"4891076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5160978",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"2561479",0,0,1,0.9,0.81,0.729,0.6561,2.6396160454264,2.37565444088376,11.055023311998,9.94952098079821,8.95456888271839,8.05911199444655,21.417345317537,19.2756107857833
"2241200",0,0,0,6.29583686600433,8.82530482498179,7.94277434248361,7.14849690823525,6.43364721741173,12.2248571136269,11.0023714022642,9.90213426203776,8.91192083583398,8.02072875225058,7.21865587702553,6.49679028932297
"3171036",0,0,0,1,0.9,0.81,0.729,0.6561,2.6396160454264,5.02251948474566,4.52026753627109,4.06824078264398,3.66141670437959,3.29527503394163,2.96574753054747
"2511037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4205933",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,2.6396160454264,2.37565444088376,2.13808899679538
"4736139",0,1,6.08248560137009,14.3307156523193,12.8976440870874,11.6078796783786,10.4470917105408,9.4023825394867,8.46214428553803,7.61592985698423,10.0080954258092,9.00728588322831,8.10655729490548,7.29590156541493,6.56631140887344
"5146215",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
